county,date,measures,data_set_id
Forest,2016-07-31,"{""corrections_population"":2311}",3
Greene,2015-11-30,"{""corrections_population"":1741}",3
N/A,2016-07-31,"{""corrections_population"":97}",3
Luzerne,2015-08-31,"{""corrections_population"":1092}",3
Schuylkill,2015-07-31,"{""corrections_population"":1184}",3
Centre,2016-02-29,"{""corrections_population"":2089}",3
Huntingdon,2016-04-30,"{""corrections_population"":1347}",3
Schuylkill,2015-06-30,"{""corrections_population"":1159}",3
N/A,2015-12-31,"{""corrections_population"":7}",3
Cumberland,2015-12-31,"{""corrections_population"":3525}",3
Indiana,2015-11-30,"{""corrections_population"":986}",3
N/A,2016-02-29,"{""corrections_population"":7}",3
Allegheny,2015-06-30,"{""corrections_population"":1749}",3
Wayne,2016-04-30,"{""corrections_population"":1404}",3
N/A,2016-01-31,"{""corrections_population"":129}",3
Somerset,2016-02-29,"{""corrections_population"":1518}",3
N/A,2015-12-31,"{""corrections_population"":984}",3
Montgomery,2016-04-30,"{""corrections_population"":3153}",3
Wayne,2016-05-31,"{""corrections_population"":1403}",3
Huntingdon,2016-01-31,"{""corrections_population"":2155}",3
Somerset,2015-12-31,"{""corrections_population"":2407}",3
Wayne,2016-01-31,"{""corrections_population"":1400}",3
Northumberland,2016-05-31,"{""corrections_population"":2267}",3
Forest,2015-08-31,"{""corrections_population"":2305}",3
Forest,2015-09-30,"{""corrections_population"":2285}",3
N/A,2015-11-30,"{""corrections_population"":987}",3
Greene,2016-06-30,"{""corrections_population"":1732}",3
Montgomery,2016-02-29,"{""corrections_population"":3258}",3
Greene,2016-08-31,"{""corrections_population"":1743}",3
Centre,2016-02-29,"{""corrections_population"":2390}",3
Forest,2016-05-31,"{""corrections_population"":2301}",3
Centre,2015-09-30,"{""corrections_population"":2365}",3
N/A,2016-05-31,"{""corrections_population"":266}",3
Lycoming,2016-03-31,"{""corrections_population"":1386}",3
N/A,2015-11-30,"{""corrections_population"":140}",3
Delaware,2015-08-31,"{""corrections_population"":1290}",3
Erie,2016-07-31,"{""corrections_population"":2264}",3
Centre,2016-06-30,"{""corrections_population"":2369}",3
Forest,2016-02-29,"{""corrections_population"":2296}",3
Schuylkill,2015-09-30,"{""corrections_population"":1162}",3
N/A,2015-07-31,"{""corrections_population"":144}",3
N/A,2015-06-30,"{""corrections_population"":6}",3
N/A,2016-08-31,"{""corrections_population"":92}",3
N/A,2016-06-30,"{""corrections_population"":98}",3
Huntingdon,2016-07-31,"{""corrections_population"":2113}",3
Delaware,2016-08-31,"{""corrections_population"":1299}",3
Schuylkill,2015-11-30,"{""corrections_population"":1158}",3
Erie,2015-10-31,"{""corrections_population"":2228}",3
Mercer,2016-04-30,"{""corrections_population"":1459}",3
Huntingdon,2015-06-30,"{""corrections_population"":1351}",3
Allegheny,2015-08-31,"{""corrections_population"":1722}",3
Clearfield,2016-03-31,"{""corrections_population"":450}",3
Clearfield,2015-09-30,"{""corrections_population"":2475}",3
Fayette,2015-12-31,"{""corrections_population"":2019}",3
Mercer,2015-10-31,"{""corrections_population"":1401}",3
Huntingdon,2016-02-29,"{""corrections_population"":2149}",3
N/A,2015-11-30,"{""corrections_population"":78}",3
Cumberland,2016-01-31,"{""corrections_population"":3554}",3
Allegheny,2016-07-31,"{""corrections_population"":1844}",3
Somerset,2016-03-31,"{""corrections_population"":1605}",3
Wayne,2016-07-31,"{""corrections_population"":1400}",3
N/A,2016-06-30,"{""corrections_population"":103}",3
N/A,2016-02-29,"{""corrections_population"":240}",3
Somerset,2016-03-31,"{""corrections_population"":2384}",3
Clearfield,2016-02-29,"{""corrections_population"":2512}",3
N/A,2016-07-31,"{""corrections_population"":603}",3
Erie,2015-12-31,"{""corrections_population"":2242}",3
Huntingdon,2016-03-31,"{""corrections_population"":2147}",3
Fayette,2016-05-31,"{""corrections_population"":2081}",3
Schuylkill,2016-04-30,"{""corrections_population"":1176}",3
Forest,2016-04-30,"{""corrections_population"":2321}",3
Centre,2015-12-31,"{""corrections_population"":2050}",3
Erie,2016-04-30,"{""corrections_population"":2221}",3
Fayette,2016-06-30,"{""corrections_population"":2067}",3
Montgomery,2015-12-31,"{""corrections_population"":3150}",3
Crawford,2016-01-31,"{""corrections_population"":1149}",3
N/A,2015-08-31,"{""corrections_population"":126}",3
N/A,2015-08-31,"{""corrections_population"":96}",3
Huntingdon,2016-04-30,"{""corrections_population"":2129}",3
Luzerne,2016-07-31,"{""corrections_population"":1122}",3
Cumberland,2016-08-31,"{""corrections_population"":3055}",3
Lycoming,2015-10-31,"{""corrections_population"":1429}",3
Mercer,2015-09-30,"{""corrections_population"":1422}",3
Fayette,2016-04-30,"{""corrections_population"":2097}",3
Crawford,2016-05-31,"{""corrections_population"":1203}",3
N/A,2016-04-30,"{""corrections_population"":81}",3
Wayne,2015-09-30,"{""corrections_population"":1365}",3
N/A,2016-03-31,"{""corrections_population"":77}",3
Somerset,2016-07-31,"{""corrections_population"":2398}",3
N/A,2016-06-30,"{""corrections_population"":7}",3
Schuylkill,2016-01-31,"{""corrections_population"":2453}",3
Forest,2016-06-30,"{""corrections_population"":2306}",3
N/A,2016-05-31,"{""corrections_population"":117}",3
Lycoming,2016-04-30,"{""corrections_population"":1395}",3
Allegheny,2015-12-31,"{""corrections_population"":1640}",3
Greene,2015-06-30,"{""corrections_population"":1730}",3
N/A,2015-12-31,"{""corrections_population"":148}",3
Wayne,2015-07-31,"{""corrections_population"":1346}",3
N/A,2015-07-31,"{""corrections_population"":127}",3
Schuylkill,2016-01-31,"{""corrections_population"":1180}",3
Centre,2016-07-31,"{""corrections_population"":2392}",3
Delaware,2015-11-30,"{""corrections_population"":1228}",3
Mercer,2016-03-31,"{""corrections_population"":1444}",3
Centre,2015-12-31,"{""corrections_population"":2398}",3
Allegheny,2016-03-31,"{""corrections_population"":1831}",3
Indiana,2015-06-30,"{""corrections_population"":1044}",3
Schuylkill,2015-12-31,"{""corrections_population"":1135}",3
N/A,2015-09-30,"{""corrections_population"":89}",3
Wayne,2015-11-30,"{""corrections_population"":1365}",3
Clearfield,2016-06-30,"{""corrections_population"":2508}",3
Delaware,2016-02-29,"{""corrections_population"":1253}",3
Centre,2016-03-31,"{""corrections_population"":2391}",3
Mercer,2016-01-31,"{""corrections_population"":1485}",3
Somerset,2015-11-30,"{""corrections_population"":1383}",3
N/A,2015-12-31,"{""corrections_population"":226}",3
Greene,2016-07-31,"{""corrections_population"":1730}",3
Greene,2016-04-30,"{""corrections_population"":1731}",3
Indiana,2016-08-31,"{""corrections_population"":937}",3
Allegheny,2016-04-30,"{""corrections_population"":1824}",3
Forest,2015-12-31,"{""corrections_population"":2278}",3
N/A,2016-03-31,"{""corrections_population"":94}",3
Centre,2016-03-31,"{""corrections_population"":2105}",3
Schuylkill,2015-10-31,"{""corrections_population"":1151}",3
Fayette,2015-10-31,"{""corrections_population"":2013}",3
Northumberland,2015-12-31,"{""corrections_population"":2269}",3
Allegheny,2015-07-31,"{""corrections_population"":1763}",3
Somerset,2016-01-31,"{""corrections_population"":1397}",3
Cumberland,2015-08-31,"{""corrections_population"":3612}",3
Fayette,2016-01-31,"{""corrections_population"":1998}",3
Indiana,2016-01-31,"{""corrections_population"":923}",3
Schuylkill,2016-05-31,"{""corrections_population"":2419}",3
Lycoming,2016-06-30,"{""corrections_population"":1431}",3
N/A,2016-07-31,"{""corrections_population"":150}",3
N/A,2016-01-31,"{""corrections_population"":245}",3
Centre,2016-07-31,"{""corrections_population"":2079}",3
Northumberland,2015-10-31,"{""corrections_population"":2298}",3
Montgomery,2016-01-31,"{""corrections_population"":3216}",3
Erie,2016-08-31,"{""corrections_population"":2287}",3
Delaware,2016-04-30,"{""corrections_population"":1258}",3
Huntingdon,2016-08-31,"{""corrections_population"":1367}",3
Clearfield,2016-08-31,"{""corrections_population"":496}",3
Schuylkill,2015-08-31,"{""corrections_population"":2479}",3
Huntingdon,2015-06-30,"{""corrections_population"":2140}",3
Somerset,2015-09-30,"{""corrections_population"":1514}",3
N/A,2015-07-31,"{""corrections_population"":95}",3
Centre,2016-06-30,"{""corrections_population"":2055}",3
Huntingdon,2016-06-30,"{""corrections_population"":1326}",3
N/A,2016-03-31,"{""corrections_population"":146}",3
Luzerne,2015-06-30,"{""corrections_population"":2126}",3
Greene,2015-07-31,"{""corrections_population"":1723}",3
N/A,2015-08-31,"{""corrections_population"":83}",3
Indiana,2016-02-29,"{""corrections_population"":889}",3
Mercer,2015-06-30,"{""corrections_population"":1473}",3
N/A,2015-06-30,"{""corrections_population"":141}",3
Schuylkill,2016-02-29,"{""corrections_population"":1190}",3
Luzerne,2016-04-30,"{""corrections_population"":1120}",3
Luzerne,2016-03-31,"{""corrections_population"":1110}",3
Northumberland,2015-06-30,"{""corrections_population"":2271}",3
Fayette,2016-03-31,"{""corrections_population"":2060}",3
Cumberland,2015-07-31,"{""corrections_population"":3588}",3
N/A,2016-08-31,"{""corrections_population"":209}",3
